"container.title","created","deposited","published.print","doi","indexed","issued","member","prefix","publisher","score","source","reference.count","references.count","is.referenced.by.count","title","type","url"
"MorphoSource Media","2018-05-26","2018-08-29","2018","10.17602/m2/m49025","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M24936-49025","dataset","http://dx.doi.org/10.17602/m2/m49025"
"MorphoSource Media","2020-05-11","2020-05-11","2020","10.17602/m2/m115986","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M64437-115986","dataset","http://dx.doi.org/10.17602/m2/m115986"
"MorphoSource Media","2020-02-28","2020-02-28","2020","10.17602/m2/m57798","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M16027-57798","dataset","http://dx.doi.org/10.17602/m2/m57798"
"MorphoSource Media","2021-08-03","2021-08-03","2021","10.17602/m2/m92860","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Tarsometatarsus [Mesh] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m92860"
"MorphoSource Media","2018-01-25","2018-01-25","2016","10.17602/m2/m8384","2022-03-30","2016","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M8384 from First North American Fossil Monkey and Early Miocene Tropical Biotic Interchange","dataset","http://dx.doi.org/10.17602/m2/m8384"
"MorphoSource Media","2018-07-24","2018-07-24","2018","10.17602/m2/m55312","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28792-55312","dataset","http://dx.doi.org/10.17602/m2/m55312"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m14764","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10171-14764","dataset","http://dx.doi.org/10.17602/m2/m14764"
"MorphoSource Media","2018-08-29","2018-08-29","2018","10.17602/m2/m16397","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10873-16397","dataset","http://dx.doi.org/10.17602/m2/m16397"
"MorphoSource Media","2021-08-03","2021-08-03","2021","10.17602/m2/m109558","2022-03-30","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Tarsometatarsus [Mesh] [Etc]","dataset","http://dx.doi.org/10.17602/m2/m109558"
"MorphoSource Media","2018-08-08","2018-08-08","2018","10.17602/m2/m55264","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28750-55264","dataset","http://dx.doi.org/10.17602/m2/m55264"
"MorphoSource Media","2018-08-28","2018-08-28","2018","10.17602/m2/m21488","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M10578-21488","dataset","http://dx.doi.org/10.17602/m2/m21488"
"MorphoSource Media","2020-11-25","2020-11-25","2020","10.17602/m2/m69837","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M23033-69837","dataset","http://dx.doi.org/10.17602/m2/m69837"
"MorphoSource Media","2019-08-15","2019-08-15","2019","10.17602/m2/m18016","2022-03-30","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M11504-18016","dataset","http://dx.doi.org/10.17602/m2/m18016"
"MorphoSource Media","2020-02-17","2020-02-17","2020","10.17602/m2/m24123","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M13738-24123","dataset","http://dx.doi.org/10.17602/m2/m24123"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m157549","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M81713-157549","dataset","http://dx.doi.org/10.17602/m2/m157549"
"MorphoSource Media","2020-09-17","2020-09-17","2020","10.17602/m2/m155130","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M79498-155130","dataset","http://dx.doi.org/10.17602/m2/m155130"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m154319","2022-03-30","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M78896-154319","dataset","http://dx.doi.org/10.17602/m2/m154319"
"MorphoSource Media","2018-08-11","2018-08-11","2018","10.17602/m2/m54219","2022-03-30","2018","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M28031-54219","dataset","http://dx.doi.org/10.17602/m2/m54219"
"MorphoSource Media","2019-07-08","2019-07-08","2019","10.17602/m2/m46540","2022-03-30","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M23690-46540","dataset","http://dx.doi.org/10.17602/m2/m46540"
"MorphoSource Media","2019-08-15","2019-08-15","2019","10.17602/m2/m19715","2022-03-31","2019","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M12141-19715","dataset","http://dx.doi.org/10.17602/m2/m19715"
"MorphoSource Media","2021-05-24","2021-05-24","2021","10.17602/m2/m354179","2022-03-31","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Quadrate [Mesh] [Synchro]","dataset","http://dx.doi.org/10.17602/m2/m354179"
"MorphoSource Media","2020-12-17","2020-12-17","2020","10.17602/m2/m154854","2022-04-04","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M79352-154854","dataset","http://dx.doi.org/10.17602/m2/m154854"
"MorphoSource Media","2018-01-25","2018-01-25","2015","10.17602/m2/m5096","2022-04-04","2015","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M5096 from Lucas &amp; Copes MCZ scans","dataset","http://dx.doi.org/10.17602/m2/m5096"
"MorphoSource Media","2022-03-14","2022-03-14","2022","10.17602/m2/m430502","2022-04-04","2022","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Full Body [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m430502"
"MorphoSource Media","2018-01-25","2018-01-25","2017","10.17602/m2/m23805","2022-04-04","2017","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M23805 from Fayum primates","dataset","http://dx.doi.org/10.17602/m2/m23805"
"MorphoSource Media","2021-11-01","2021-11-01","2021","10.17602/m2/m392893","2022-04-04","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Skull [Mesh] [StrLight]","dataset","http://dx.doi.org/10.17602/m2/m392893"
"MorphoSource Media","2020-07-10","2020-07-10","2020","10.17602/m2/m116469","2022-04-04","2020","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M64805-116469","dataset","http://dx.doi.org/10.17602/m2/m116469"
"MorphoSource Media","2021-10-18","2021-10-18","2021","10.17602/m2/m377688","2022-04-04","2021","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","Dentary/Mandibular Specimen [CTImageSeries] [CT]","dataset","http://dx.doi.org/10.17602/m2/m377688"
"MorphoSource Media","2018-01-25","2018-01-25","2015","10.17602/m2/m2888","2022-04-04","2015","11818","10.17602","Duke University Libraries","0","Crossref","0","0","0","M2888 from Lucas &amp; Copes MCZ scans","dataset","http://dx.doi.org/10.17602/m2/m2888"
